Date,Open,High,Low,Close,UBB(2),BollMA (20)  on Close,LBB(2),Volume,BollW (DIA US),%B (DIA US)
7/25/2017,216.5,216.52,215.49,215.86,217.0944,214.7555,212.4165,1924172,2.1782,0.7361
7/24/2017,215.51,215.51,214.681,215.09,216.9677,214.656,212.3443,1459554,2.1539,0.5939
7/21/2017,215.19,215.55,214.76,215.53,216.9243,214.5885,212.2527,2223698,2.177,0.7015
7/20/2017,216.57,216.58,215.7101,216.19,216.8209,214.4985,212.1761,1372015,2.1654,0.8642
7/19/2017,215.89,216.34,215.66,216.32,216.5841,214.3835,212.1829,1785904,2.0529,0.94
7/18/2017,215.66,215.81,214.63,215.7,216.3014,214.2875,212.2737,2247531,1.8796,0.8507
7/17/2017,216.32,216.4898,216.04,216.22,216.18,214.2485,212.317,2291048,1.803,1.0104
7/14/2017,215.3,216.68,215.11,216.26,215.841,214.1155,212.39,2395456,1.6117,1.1214
7/13/2017,215.3,215.56,215,215.46,215.4109,213.987,212.5631,1587377,1.3309,1.0172
7/12/2017,214.98,215.7,214.89,215.23,215.1597,213.906,212.6523,2103369,1.1722,1.028
7/11/2017,213.91,214.2944,212.68,213.98,214.9284,213.813,212.6976,1577622,1.0433,0.5749
7/10/2017,213.68,214.3453,213.54,213.99,215.004,213.734,212.464,1156694,1.1884,0.6008
7/7/2017,213.54,214.1599,213.42,214.05,215.0129,213.668,212.3231,1326523,1.2588,0.642
7/6/2017,214.09,214.2458,212.94,213.14,215.1029,213.5585,212.0141,2298846,1.4464,0.3645
7/5/2017,214.74,214.83,213.83,214.58,215.2213,213.4875,211.7537,1799148,1.6243,0.8151
7/3/2017,213.95,215.38,213.88,214.49,215.2141,213.327,211.4399,2135037,1.7692,0.8081
6/30/2017,213.15,213.99,212.97,213.24,215.1065,213.1955,211.2845,2216645,1.7927,0.5116
6/29/2017,214.52,214.55,211.7,212.61,215.12,213.129,211.138,4372622,1.8684,0.3697
6/28/2017,213.58,214.53,213.58,214.24,215.1883,213.0685,210.9487,4693745,1.9898,0.7763
6/27/2017,213.71,214.13,212.87,212.93,215.2901,212.8565,210.4229,1981594,2.2866,0.5151
